0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,x,y
50,47,45,44,31,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
51,48,43,43,0,31,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
51,48,42,46,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
49,47,42,48,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
49,51,43,47,0,30,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
51,45,43,43,0,30,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
49,51,44,43,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
49,51,44,44,0,32,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
49,47,45,44,0,30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7.9
48,47,43,46,34,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
47,45,48,47,34,0,0,39,30,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
47,49,49,47,34,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
48,49,49,43,35,0,33,40,31,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
48,49,48,43,35,0,33,40,32,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
48,47,48,43,36,0,0,42,32,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
48,47,47,43,36,0,0,40,32,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
48,43,47,44,36,32,0,41,32,33,0,0,0,0,0,0,0,0,0,0,0.9,8.9
49,44,47,43,36,31,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.9,8.9
32,46,43,43,32,0,0,36,30,31,0,0,0,0,0,0,0,0,0,0,0.9,9.9
36,46,39,45,33,0,0,39,30,30,0,0,0,0,0,0,0,0,0,0,0.9,9.9
36,47,44,45,31,0,0,38,30,30,0,0,0,0,0,0,0,0,0,0,0.9,9.9
37,47,44,45,31,0,0,33,30,30,0,0,0,0,0,0,0,0,0,0,0.9,9.9
38,47,43,38,30,0,0,33,30,31,0,0,0,0,0,0,0,0,0,0,0.9,9.9
38,47,43,43,31,0,0,34,30,31,0,0,0,0,0,0,0,0,0,0,0.9,9.9
38,47,43,44,31,0,31,33,30,31,0,0,0,0,0,0,0,0,0,0,0.9,9.9
38,46,43,44,32,0,31,33,30,30,0,0,0,0,0,0,0,0,0,0,0.9,9.9
37,45,43,44,31,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0.9,9.9
31,42,62,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
37,49,65,44,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
37,45,65,46,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
37,49,64,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
36,51,64,46,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
35,51,63,46,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
37,49,63,46,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
37,45,63,46,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
36,50,63,37,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.9
0,41,64,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
34,41,62,31,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
34,40,61,35,30,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
30,38,61,39,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
30,44,64,39,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
32,42,64,40,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.9
32,43,65,30,0,0,0,33,0,0,30,0,0,0,0,0,0,0,0,0,0.9,11.9
32,45,65,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,0,0,0.9,11.9
32,39,65,36,0,0,0,31,0,0,30,0,0,0,0,0,0,0,0,0,0.9,11.9
38,52,57,41,30,0,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
37,53,57,33,30,0,0,37,31,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
38,53,55,40,0,0,0,36,31,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
38,54,55,32,0,0,0,36,31,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
38,47,58,39,0,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
38,53,58,40,0,0,31,35,31,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
36,53,60,41,30,0,31,35,32,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
36,53,60,34,30,0,31,36,30,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
36,53,60,32,0,0,0,36,30,0,0,0,0,0,0,0,0,0,0,0,0.9,12.9
31,37,46,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
33,40,43,38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
37,42,43,32,33,0,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,46,39,36,33,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,45,39,40,36,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,44,49,31,34,0,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,44,49,37,35,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,44,53,31,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
39,45,53,36,35,0,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0.9,13.9
47,50,45,50,0,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
51,48,44,46,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
48,48,44,44,0,30,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
48,48,46,51,0,34,0,38,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
48,46,46,43,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
48,47,46,42,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
48,46,46,50,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
47,46,44,45,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
47,47,44,50,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2.8,7.9
47,49,47,53,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
39,51,47,49,0,32,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
40,51,45,45,0,32,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
40,51,45,44,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
41,51,50,50,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
41,51,50,49,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
38,51,51,45,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
39,51,51,48,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
39,51,51,48,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.9
49,51,56,50,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,52,56,48,0,31,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
48,45,54,47,0,31,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,51,54,43,0,31,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,51,55,43,0,31,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,53,56,47,0,31,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,51,56,47,0,31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,53,54,39,0,31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
49,53,54,50,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9.9
39,54,61,53,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
39,50,61,50,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
39,43,61,50,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
37,50,59,52,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
37,53,59,54,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
41,51,59,55,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
41,51,61,55,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
40,51,61,46,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
40,51,62,53,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9
44,53,61,51,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,58,60,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,53,60,45,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
46,57,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
46,57,64,44,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,57,64,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,59,65,49,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,52,65,44,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
45,56,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,11.9
40,53,51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
38,57,51,32,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
32,58,48,44,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
30,59,48,39,0,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
30,59,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
0,52,49,44,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
0,50,53,38,0,0,0,36,0,0,0,30,0,0,0,0,0,0,0,0,2.8,12.9
0,50,54,38,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
0,50,54,39,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.9
47,43,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
47,48,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
47,50,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
47,50,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,50,49,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,50,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,51,49,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,49,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
46,46,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.9
53,50,51,48,0,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,43,45,45,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,47,45,47,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
53,47,47,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,47,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,50,47,0,35,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,50,47,0,35,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,51,47,0,32,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
52,48,51,47,0,34,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7.9
40,41,52,52,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,45,52,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
36,40,52,52,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,46,51,52,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
40,48,51,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
41,48,50,52,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
41,48,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
41,40,50,51,0,32,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
41,47,50,51,0,33,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3.8,8.9
46,51,58,49,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3.8,9.9
46,49,58,53,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,9.9
49,49,56,53,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,9.9
50,49,56,53,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,9.9
50,49,56,53,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3.8,9.9
50,49,56,49,0,0,0,38,0,0,30,0,0,0,0,0,0,0,0,0,3.8,9.9
50,49,58,49,0,0,0,39,0,0,31,0,0,0,0,0,0,0,0,0,3.8,9.9
50,50,58,52,0,0,0,35,0,0,30,0,0,0,0,0,0,0,0,0,3.8,9.9
50,43,58,52,0,0,0,39,0,0,30,0,0,0,0,0,0,0,0,0,3.8,9.9
48,45,60,45,0,31,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,52,59,44,0,30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,52,59,52,0,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,52,59,45,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,44,59,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,51,59,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,52,59,50,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,45,59,50,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
48,51,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,10.9
40,49,56,43,0,0,0,38,0,30,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,52,59,44,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,51,59,44,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,50,55,48,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,50,55,49,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,50,57,49,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
40,50,57,49,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
39,50,58,49,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
39,40,58,49,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3.8,11.9
43,62,64,46,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
40,64,62,48,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
41,64,62,48,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
42,64,62,48,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
42,57,60,48,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
41,46,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
42,61,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
42,64,60,48,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
42,64,62,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,12.9
36,42,39,41,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
36,50,43,41,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
34,44,43,42,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,51,43,40,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,52,45,41,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,53,45,41,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,53,44,41,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,53,44,41,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
33,53,43,42,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.9
44,45,46,57,0,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
45,45,46,57,0,32,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
46,44,46,58,0,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,44,45,58,0,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,44,45,59,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,44,43,47,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,45,43,51,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,45,44,52,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,45,44,57,0,34,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4.8,7.9
47,45,54,44,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,45,54,54,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,45,56,55,0,30,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,45,56,56,0,30,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
50,45,55,56,0,30,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
49,45,55,56,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,45,54,57,0,33,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,45,54,57,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
48,44,55,57,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.9
38,43,57,52,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
42,40,57,56,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
41,36,58,55,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
42,33,58,55,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
44,0,56,55,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
44,32,56,54,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
44,34,58,56,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
44,34,58,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
44,30,58,44,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.9
41,39,56,44,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4.8,10.9
43,45,56,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,10.9
